steps,rewards
0,0.0
8192,3.96875
16384,5.96875
24576,4.40625
32768,6.3125
40960,5.375
49152,5.96875
57344,5.53125
65536,5.28125
73728,5.65625
81920,5.25
90112,6.40625
98304,6.46875
106496,6.59375
114688,8.46875
122880,7.78125
131072,9.125
139264,8.0625
147456,8.09375
155648,8.625
163840,8.5625
172032,10.09375
180224,11.46875
188416,9.53125
196608,9.96875
204800,9.71875
212992,9.96875
221184,9.71875
229376,10.1875
237568,10.25
245760,10.96875
253952,10.125
262144,11.0625
270336,10.9375
278528,11.375
286720,11.78125
294912,11.0625
303104,10.25
311296,9.96875
319488,10.8125
327680,9.875
335872,11.09375
344064,12.0
352256,13.71875
360448,13.9375
368640,12.71875
376832,12.5625
385024,11.71875
393216,12.34375
401408,12.65625
409600,13.46875
417792,12.96875
425984,12.84375
434176,12.65625
442368,12.90625
450560,12.125
458752,13.4375
466944,13.0625
475136,13.65625
483328,14.375
491520,12.5625
499712,13.90625
507904,13.625
516096,13.875
524288,13.625
532480,14.21875
540672,13.65625
548864,14.25
557056,14.84375
565248,15.1875
573440,15.09375
581632,15.59375
589824,15.5
598016,16.125
606208,15.21875
614400,16.84375
622592,16.3125
630784,15.65625
638976,16.40625
647168,15.59375
655360,15.78125
663552,16.71875
671744,14.65625
679936,15.875
688128,14.15625
696320,16.21875
704512,13.40625
712704,15.0625
720896,17.75
729088,15.65625
737280,17.5
745472,15.5
753664,15.03125
761856,17.3125
770048,16.6875
778240,17.34375
786432,17.0625
794624,16.03125
802816,15.4375
811008,17.21875
819200,14.65625
827392,18.65625
835584,16.15625
843776,16.6875
851968,15.3125
860160,17.53125
868352,15.46875
876544,17.71875
884736,16.71875
892928,17.875
901120,16.53125
909312,17.75
917504,17.1875
925696,18.71875
933888,19.0
942080,17.5625
950272,18.15625
958464,17.75
966656,16.5
974848,17.5625
983040,17.28125
991232,15.03125
999424,17.625
1007616,19.125
1015808,18.125
1024000,18.625
1032192,20.25
1040384,18.46875
1048576,20.25
1056768,18.21875
1064960,17.34375
1073152,18.53125
1081344,19.03125
1089536,18.09375
1097728,17.84375
1105920,18.1875
1114112,18.34375
1122304,20.15625
1130496,19.0
1138688,17.09375
1146880,17.4375
1155072,18.34375
1163264,19.03125
1171456,19.28125
1179648,18.46875
1187840,19.0625
1196032,19.21875
1204224,17.5
1212416,19.5625
1220608,17.9375
1228800,20.0625
1236992,19.25
1245184,19.40625
1253376,19.15625
1261568,19.5625
1269760,17.40625
1277952,19.3125
1286144,19.28125
1294336,17.6875
1302528,17.25
1310720,18.9375
1318912,20.15625
1327104,18.6875
1335296,20.125
1343488,20.90625
1351680,17.96875
1359872,20.1875
1368064,19.1875
1376256,18.65625
1384448,19.3125
1392640,18.875
1400832,20.65625
1409024,20.71875
1417216,21.53125
1425408,19.9375
1433600,18.0625
1441792,18.625
1449984,19.125
1458176,18.71875
1466368,18.59375
1474560,19.40625
1482752,18.90625
1490944,19.90625
1499136,19.0625
1507328,19.28125
1515520,19.09375
1523712,21.875
1531904,20.71875
1540096,20.375
1548288,19.34375
1556480,19.375
1564672,20.78125
1572864,21.375
1581056,21.09375
1589248,19.6875
1597440,20.28125
1605632,19.59375
1613824,20.53125
1622016,21.5625
1630208,21.25
1638400,21.21875
1646592,19.96875
1654784,20.4375
1662976,20.84375
1671168,20.28125
1679360,20.53125
1687552,21.125
1695744,20.75
1703936,20.03125
1712128,20.0625
1720320,19.84375
1728512,21.8125
1736704,21.125
1744896,19.125
1753088,18.90625
1761280,21.09375
1769472,21.46875
