steps,rewards
0,0.0
8192,4.21875
16384,4.15625
24576,4.375
32768,5.0
40960,5.5
49152,4.3125
57344,5.1875
65536,5.125
73728,6.21875
81920,5.90625
90112,6.96875
98304,6.4375
106496,6.53125
114688,7.59375
122880,6.4375
131072,7.0625
139264,7.6875
147456,7.84375
155648,8.0625
163840,9.5
172032,9.03125
180224,9.875
188416,9.875
196608,10.40625
204800,10.65625
212992,10.28125
221184,11.3125
229376,11.21875
237568,12.0625
245760,11.90625
253952,12.25
262144,12.03125
270336,13.0
278528,12.375
286720,14.0
294912,13.59375
303104,15.15625
311296,15.53125
319488,14.875
327680,15.78125
335872,15.75
344064,15.0625
352256,16.09375
360448,15.28125
368640,16.21875
376832,16.40625
385024,14.9375
393216,16.46875
401408,17.1875
409600,16.125
417792,17.84375
425984,17.4375
434176,17.5
442368,17.21875
450560,16.90625
458752,16.28125
466944,16.375
475136,16.84375
483328,17.71875
491520,18.0625
499712,18.8125
507904,17.25
516096,17.6875
524288,17.9375
532480,17.34375
540672,18.09375
548864,17.40625
557056,18.34375
565248,18.71875
573440,18.5
581632,19.25
589824,18.625
598016,18.59375
606208,19.21875
614400,18.40625
622592,17.53125
630784,18.625
638976,18.15625
647168,19.03125
655360,19.71875
663552,19.125
671744,19.25
679936,18.9375
688128,19.21875
696320,19.09375
704512,18.875
712704,18.09375
720896,19.5
729088,18.84375
737280,18.25
745472,21.21875
753664,19.59375
761856,20.09375
770048,19.71875
778240,20.25
786432,19.59375
794624,19.78125
802816,18.90625
811008,20.03125
819200,20.34375
827392,20.71875
835584,19.90625
843776,20.46875
851968,20.15625
860160,20.1875
868352,20.53125
876544,19.75
884736,19.375
892928,21.0
901120,18.34375
909312,20.75
917504,20.15625
925696,20.09375
933888,20.46875
942080,20.34375
950272,19.03125
958464,20.59375
966656,20.96875
974848,21.53125
983040,21.21875
991232,21.40625
999424,21.15625
1007616,21.15625
1015808,20.6875
1024000,19.25
1032192,20.40625
1040384,21.21875
1048576,21.65625
1056768,20.65625
1064960,21.03125
1073152,20.5
1081344,21.40625
1089536,21.6875
1097728,20.15625
1105920,19.4375
1114112,20.625
1122304,19.78125
1130496,20.90625
1138688,22.84375
1146880,19.25
1155072,22.0
1163264,20.53125
1171456,21.71875
1179648,20.9375
1187840,20.59375
1196032,20.25
1204224,21.59375
1212416,20.5
1220608,21.03125
1228800,21.28125
1236992,20.15625
1245184,21.3125
1253376,21.03125
1261568,21.75
1269760,21.0
1277952,20.8125
1286144,20.4375
1294336,19.46875
1302528,21.65625
1310720,21.4375
1318912,22.03125
1327104,20.34375
1335296,18.5625
1343488,20.5
1351680,21.8125
1359872,19.03125
1368064,19.78125
1376256,20.0625
1384448,22.84375
1392640,21.3125
1400832,20.8125
1409024,20.5
1417216,22.6875
1425408,20.75
1433600,22.875
1441792,20.71875
1449984,20.90625
1458176,22.34375
1466368,22.28125
1474560,21.59375
1482752,22.0
1490944,20.875
1499136,23.9375
1507328,23.34375
1515520,21.34375
1523712,22.75
1531904,21.90625
1540096,22.59375
1548288,20.84375
1556480,22.78125
1564672,20.0625
1572864,21.78125
1581056,21.96875
1589248,21.15625
1597440,21.375
1605632,21.65625
1613824,21.625
1622016,21.34375
1630208,21.53125
1638400,20.875
1646592,21.8125
1654784,20.125
1662976,22.25
1671168,22.0625
1679360,20.875
1687552,21.6875
1695744,22.5
1703936,20.65625
1712128,22.15625
1720320,21.8125
1728512,22.03125
1736704,20.6875
1744896,21.84375
1753088,19.5625
1761280,22.375
1769472,21.34375
1777664,22.53125
1785856,21.9375
1794048,23.28125
1802240,23.28125
1810432,23.46875
1818624,22.1875
1826816,21.40625
1835008,23.3125
1843200,22.3125
1851392,21.4375
1859584,22.46875
1867776,24.375
1875968,22.53125
1884160,23.21875
1892352,22.84375
1900544,21.5625
1908736,22.15625
1916928,22.5625
1925120,21.625
1933312,22.9375
1941504,22.375
1949696,22.5
1957888,22.375
1966080,22.96875
1974272,22.34375
1982464,23.125
1990656,22.9375
1998848,23.96875
2007040,22.65625
2015232,23.96875
2023424,22.5625
2031616,23.8125
2039808,21.90625
2048000,23.78125
2056192,24.40625
2064384,24.15625
2072576,23.21875
2080768,21.96875
2088960,21.75
2097152,22.0
2105344,22.90625
2113536,23.0625
2121728,21.75
2129920,21.8125
2138112,22.75
2146304,22.875
2154496,23.0
2162688,22.09375
2170880,22.21875
2179072,22.875
2187264,22.1875
2195456,23.5
2203648,21.625
2211840,22.84375
2220032,23.03125
2228224,22.53125
2236416,24.09375
2244608,24.34375
2252800,23.53125
2260992,23.90625
2269184,22.875
2277376,22.625
2285568,23.5625
2293760,23.9375
2301952,22.5
2310144,23.09375
2318336,22.96875
2326528,23.1875
2334720,25.125
2342912,23.875
2351104,21.25
2359296,22.8125
2367488,22.75
2375680,22.59375
2383872,21.0625
2392064,22.15625
2400256,22.09375
2408448,23.5625
2416640,21.9375
2424832,23.875
2433024,22.78125
2441216,23.28125
2449408,23.03125
2457600,21.90625
2465792,22.6875
2473984,23.1875
2482176,23.46875
2490368,24.09375
2498560,23.1875
2506752,23.875
2514944,21.4375
2523136,21.96875
2531328,21.84375
2539520,21.84375
2547712,22.53125
2555904,23.40625
2564096,23.6875
2572288,22.6875
2580480,23.0625
2588672,22.6875
2596864,22.6875
2605056,22.8125
2613248,23.71875
2621440,21.46875
2629632,21.90625
2637824,21.96875
2646016,22.28125
2654208,22.90625
2662400,21.8125
2670592,23.53125
2678784,21.5
2686976,21.0625
2695168,22.5
2703360,23.1875
2711552,22.96875
2719744,22.3125
2727936,23.09375
2736128,22.1875
2744320,22.21875
2752512,21.5
2760704,23.84375
2768896,22.1875
2777088,22.15625
2785280,21.375
2793472,22.65625
2801664,21.46875
2809856,22.84375
2818048,22.78125
2826240,22.375
2834432,24.3125
2842624,22.15625
2850816,24.625
2859008,22.1875
2867200,22.34375
2875392,21.84375
2883584,22.53125
2891776,22.96875
2899968,23.59375
2908160,23.375
2916352,22.25
2924544,24.65625
2932736,24.71875
2940928,22.78125
2949120,22.03125
2957312,23.5
2965504,23.09375
2973696,24.3125
2981888,22.84375
2990080,21.9375
2998272,22.21875
3006464,21.8125
3014656,22.25
3022848,23.59375
3031040,20.4375
3039232,21.09375
3047424,22.46875
3055616,23.78125
3063808,21.4375
3072000,21.65625
3080192,21.46875
3088384,23.09375
3096576,23.5
3104768,20.71875
3112960,24.59375
3121152,21.84375
3129344,24.4375
3137536,22.3125
3145728,21.46875
3153920,23.0625
3162112,21.5
3170304,23.75
3178496,22.625
3186688,23.0
3194880,24.4375
3203072,22.90625
3211264,23.71875
3219456,23.4375
3227648,23.40625
3235840,23.09375
3244032,23.3125
3252224,23.875
3260416,23.25
3268608,24.5
3276800,23.0625
3284992,22.84375
3293184,22.625
3301376,23.59375
3309568,23.0
3317760,23.1875
3325952,23.34375
3334144,23.0625
3342336,22.78125
3350528,22.375
3358720,24.65625
3366912,20.9375
3375104,22.5625
3383296,23.90625
3391488,23.9375
3399680,23.6875
3407872,23.03125
3416064,23.46875
3424256,22.5625
3432448,21.6875
3440640,22.5625
3448832,23.15625
3457024,23.9375
3465216,22.9375
3473408,23.625
3481600,23.875
3489792,24.59375
3497984,22.625
3506176,22.96875
3514368,24.78125
3522560,22.34375
3530752,22.6875
3538944,22.71875
3547136,24.40625
3555328,25.25
3563520,23.34375
3571712,22.90625
3579904,23.5
3588096,22.34375
3596288,22.3125
3604480,24.125
3612672,23.09375
3620864,23.9375
3629056,23.8125
3637248,23.34375
3645440,23.6875
3653632,22.9375
3661824,24.84375
3670016,24.5
3678208,25.34375
3686400,26.0
3694592,25.375
3702784,24.375
3710976,24.78125
3719168,21.46875
3727360,24.78125
3735552,23.40625
3743744,25.0
3751936,22.65625
3760128,23.9375
3768320,24.0625
3776512,24.125
3784704,22.9375
3792896,25.34375
3801088,23.625
3809280,24.15625
3817472,24.15625
3825664,23.75
3833856,24.0
3842048,22.65625
3850240,24.5625
3858432,23.09375
3866624,23.71875
3874816,24.09375
3883008,23.3125
3891200,23.78125
3899392,23.59375
3907584,22.9375
3915776,24.4375
3923968,24.28125
3932160,23.75
3940352,24.9375
3948544,24.0625
3956736,24.78125
3964928,24.28125
3973120,24.21875
3981312,23.875
3989504,24.40625
3997696,25.15625
4005888,25.28125
4014080,25.53125
4022272,24.0
4030464,26.0
4038656,23.78125
4046848,25.09375
4055040,23.5625
4063232,25.34375
4071424,24.71875
4079616,23.96875
4087808,25.625
4096000,23.0
4104192,24.1875
4112384,24.96875
4120576,25.03125
4128768,25.75
4136960,24.4375
4145152,24.75
4153344,23.96875
4161536,24.125
4169728,24.03125
4177920,25.21875
4186112,25.21875
4194304,25.4375
4202496,25.125
4210688,24.71875
4218880,23.09375
4227072,22.59375
4235264,24.40625
4243456,25.125
4251648,23.84375
4259840,23.84375
4268032,23.65625
4276224,25.3125
4284416,24.71875
4292608,24.65625
4300800,24.1875
4308992,22.625
4317184,25.46875
4325376,24.90625
4333568,22.6875
4341760,23.90625
4349952,24.15625
4358144,24.28125
4366336,23.8125
4374528,23.09375
4382720,23.03125
4390912,21.375
4399104,22.75
4407296,25.28125
4415488,23.96875
4423680,22.0
4431872,23.34375
4440064,23.875
4448256,23.03125
4456448,24.34375
4464640,24.125
4472832,23.03125
4481024,24.34375
4489216,22.78125
4497408,24.9375
4505600,24.5
4513792,24.96875
4521984,24.5
4530176,23.59375
4538368,23.375
4546560,23.625
4554752,24.0
4562944,26.53125
4571136,26.5625
4579328,24.15625
4587520,24.28125
4595712,22.59375
4603904,24.375
4612096,25.21875
4620288,23.9375
4628480,23.0
4636672,23.25
4644864,24.0625
4653056,25.3125
4661248,23.5625
4669440,25.125
4677632,24.53125
4685824,24.6875
4694016,22.9375
4702208,25.59375
4710400,23.3125
4718592,24.65625
4726784,24.8125
4734976,23.0625
4743168,23.71875
4751360,24.46875
4759552,24.84375
4767744,23.21875
4775936,24.4375
4784128,23.59375
4792320,23.25
4800512,24.0
4808704,23.5625
4816896,25.5625
4825088,23.46875
4833280,23.875
4841472,23.375
4849664,23.15625
4857856,22.90625
4866048,24.625
4874240,24.25
4882432,24.34375
4890624,23.21875
4898816,24.625
4907008,23.0
4915200,23.28125
4923392,24.4375
4931584,23.1875
4939776,24.375
4947968,24.25
4956160,25.40625
4964352,24.09375
4972544,23.625
4980736,22.625
4988928,24.15625
4997120,25.21875
5005312,25.34375
5013504,23.09375
5021696,25.0
5029888,25.96875
5038080,25.09375
5046272,25.125
5054464,23.125
5062656,25.6875
5070848,24.71875
5079040,23.4375
5087232,27.03125
5095424,26.4375
5103616,25.59375
5111808,24.625
5120000,24.25
5128192,25.46875
5136384,24.75
5144576,24.6875
5152768,23.65625
5160960,24.59375
5169152,23.59375
5177344,25.34375
5185536,25.65625
5193728,25.28125
5201920,22.25
5210112,24.53125
5218304,23.84375
5226496,24.90625
5234688,25.9375
5242880,25.09375
5251072,24.0
5259264,23.5625
5267456,26.4375
5275648,25.5
5283840,25.875
5292032,24.65625
5300224,22.90625
5308416,22.59375
5316608,23.75
5324800,23.5
5332992,23.34375
5341184,25.03125
5349376,23.75
5357568,24.53125
5365760,26.03125
5373952,25.3125
5382144,25.6875
5390336,26.25
5398528,23.90625
5406720,24.0
5414912,24.625
5423104,24.1875
5431296,25.375
5439488,25.65625
5447680,23.9375
5455872,23.40625
5464064,25.3125
5472256,24.03125
5480448,23.09375
5488640,24.96875
5496832,25.3125
5505024,24.59375
5513216,25.15625
5521408,25.1875
5529600,24.0
5537792,23.8125
5545984,24.28125
5554176,25.3125
5562368,21.625
5570560,24.8125
5578752,24.84375
5586944,24.25
5595136,24.8125
5603328,24.40625
5611520,24.875
5619712,24.875
5627904,24.03125
5636096,24.15625
5644288,24.3125
5652480,22.3125
5660672,25.0
5668864,26.03125
5677056,24.6875
5685248,24.15625
5693440,24.21875
5701632,26.1875
5709824,22.125
5718016,25.15625
5726208,23.59375
5734400,24.15625
5742592,23.59375
5750784,25.375
5758976,25.40625
5767168,26.53125
5775360,22.9375
5783552,24.3125
5791744,24.40625
5799936,24.84375
5808128,22.78125
5816320,23.78125
5824512,24.34375
5832704,25.125
5840896,25.0625
5849088,26.5625
5857280,26.125
5865472,24.59375
5873664,24.1875
5881856,23.78125
5890048,26.4375
5898240,26.96875
5906432,22.4375
5914624,26.09375
5922816,24.46875
5931008,24.78125
5939200,24.46875
5947392,25.78125
5955584,25.78125
5963776,26.40625
5971968,24.5625
5980160,25.03125
5988352,22.875
5996544,25.9375
6004736,24.03125
6012928,27.0
6021120,25.40625
6029312,25.90625
6037504,23.34375
6045696,25.875
6053888,25.28125
6062080,25.0
6070272,23.75
6078464,25.46875
6086656,24.40625
6094848,24.0625
6103040,25.3125
6111232,26.46875
6119424,25.65625
6127616,26.0625
6135808,23.75
6144000,26.75
6152192,24.78125
6160384,25.4375
6168576,25.53125
6176768,25.34375
6184960,26.15625
6193152,25.46875
6201344,25.90625
6209536,27.125
6217728,26.84375
6225920,24.84375
6234112,25.15625
6242304,27.375
6250496,26.375
6258688,25.875
6266880,24.09375
6275072,25.34375
6283264,23.5625
6291456,27.0
6299648,24.84375
6307840,25.0
6316032,25.9375
6324224,25.0
6332416,25.59375
6340608,25.59375
6348800,26.625
6356992,27.0
6365184,25.28125
6373376,25.0625
6381568,24.3125
6389760,25.375
6397952,23.46875
6406144,24.71875
6414336,23.375
6422528,25.28125
6430720,25.5
6438912,24.625
6447104,27.6875
6455296,27.40625
6463488,26.9375
6471680,26.875
6479872,23.09375
6488064,24.09375
6496256,25.46875
6504448,26.0625
6512640,27.15625
6520832,26.71875
6529024,26.9375
6537216,28.25
6545408,24.90625
6553600,25.90625
6561792,25.0625
6569984,24.125
6578176,24.59375
6586368,25.15625
6594560,24.71875
6602752,24.59375
6610944,26.75
6619136,25.03125
6627328,25.40625
6635520,24.90625
6643712,24.875
6651904,25.96875
6660096,26.28125
6668288,23.75
6676480,25.03125
6684672,23.8125
6692864,25.0
6701056,25.5
6709248,25.4375
6717440,27.15625
6725632,26.71875
6733824,24.84375
6742016,25.125
6750208,23.5
6758400,27.53125
6766592,26.75
6774784,25.21875
6782976,27.34375
6791168,25.6875
6799360,25.84375
6807552,25.9375
6815744,26.0
6823936,26.1875
6832128,24.3125
6840320,23.65625
6848512,24.03125
6856704,24.1875
6864896,25.84375
6873088,23.1875
6881280,24.25
6889472,25.0
6897664,24.84375
6905856,25.59375
6914048,25.9375
6922240,24.96875
6930432,26.1875
6938624,26.0
6946816,24.125
6955008,27.34375
6963200,25.34375
6971392,24.4375
6979584,25.5625
6987776,25.03125
6995968,24.84375
7004160,26.1875
7012352,24.8125
7020544,24.34375
7028736,25.5
7036928,24.25
7045120,24.5625
7053312,24.65625
7061504,27.0
7069696,27.78125
7077888,26.3125
7086080,26.8125
7094272,25.65625
7102464,24.875
7110656,25.71875
7118848,25.8125
7127040,26.40625
7135232,26.59375
7143424,26.71875
7151616,26.375
7159808,26.3125
7168000,24.875
7176192,24.6875
7184384,26.03125
7192576,25.53125
7200768,26.375
7208960,23.03125
7217152,24.0625
7225344,26.0625
7233536,24.53125
7241728,24.15625
7249920,24.5625
7258112,25.15625
7266304,24.625
7274496,25.0625
7282688,26.4375
7290880,24.9375
7299072,25.625
7307264,24.4375
7315456,24.25
7323648,24.28125
7331840,24.59375
7340032,27.3125
7348224,24.1875
7356416,24.125
7364608,24.40625
7372800,23.4375
7380992,26.25
7389184,26.75
7397376,26.65625
7405568,24.53125
7413760,25.9375
7421952,25.875
7430144,25.75
7438336,23.34375
7446528,24.53125
7454720,24.375
7462912,24.59375
7471104,26.0
7479296,25.21875
7487488,24.8125
7495680,24.0625
7503872,24.0625
7512064,26.3125
7520256,24.875
7528448,24.65625
7536640,26.96875
7544832,25.625
7553024,25.0625
7561216,25.125
7569408,25.375
7577600,26.6875
7585792,25.8125
7593984,26.0625
7602176,23.78125
7610368,27.46875
7618560,25.15625
7626752,25.125
7634944,25.65625
7643136,25.0
7651328,25.71875
7659520,24.6875
7667712,26.59375
7675904,25.8125
7684096,24.71875
7692288,25.71875
7700480,25.625
7708672,24.90625
7716864,25.8125
7725056,25.8125
7733248,25.3125
7741440,26.03125
7749632,26.78125
7757824,25.09375
7766016,23.875
7774208,23.84375
7782400,24.96875
7790592,25.625
7798784,24.375
7806976,25.25
7815168,25.0
7823360,25.0
7831552,25.8125
7839744,27.25
7847936,26.53125
7856128,25.375
7864320,23.71875
7872512,24.78125
7880704,23.75
7888896,26.4375
7897088,24.875
7905280,24.90625
7913472,24.25
7921664,25.6875
7929856,24.75
7938048,24.59375
7946240,25.28125
7954432,23.28125
7962624,25.3125
7970816,22.375
7979008,25.4375
7987200,23.28125
7995392,24.09375
8003584,24.59375
