steps,rewards
0,0.0
8192,3.5
16384,3.71875
24576,3.46875
32768,4.78125
40960,4.8125
49152,5.84375
57344,5.03125
65536,6.15625
73728,5.875
81920,6.25
90112,8.5625
98304,9.0625
106496,9.15625
114688,9.5
122880,9.96875
131072,11.3125
139264,13.75
147456,12.90625
155648,13.46875
163840,14.78125
172032,12.84375
180224,14.09375
188416,14.03125
196608,15.5625
204800,15.6875
212992,14.875
221184,15.96875
229376,15.65625
237568,15.46875
245760,15.0625
253952,15.46875
262144,16.875
270336,15.15625
278528,16.59375
286720,15.9375
294912,15.5625
303104,16.4375
311296,16.1875
319488,15.65625
327680,15.71875
335872,15.625
344064,15.3125
352256,16.09375
360448,16.65625
368640,15.6875
376832,16.09375
385024,16.125
393216,16.84375
401408,16.4375
409600,16.0
417792,16.78125
425984,17.8125
434176,17.0
442368,16.25
450560,17.21875
458752,17.1875
466944,17.40625
475136,18.46875
483328,16.6875
491520,17.46875
499712,17.6875
507904,17.9375
516096,17.0
524288,17.46875
532480,17.125
540672,16.84375
548864,17.1875
557056,18.65625
565248,17.40625
573440,17.1875
581632,19.5
589824,19.4375
598016,17.59375
606208,18.96875
614400,19.28125
622592,18.78125
630784,19.0
638976,19.34375
647168,19.1875
655360,17.34375
663552,17.875
671744,17.53125
679936,17.375
688128,19.1875
696320,17.8125
704512,17.5
712704,19.375
720896,19.34375
729088,19.375
737280,17.6875
745472,17.28125
753664,18.09375
761856,19.59375
770048,18.03125
778240,17.78125
786432,18.96875
794624,18.8125
802816,17.78125
811008,20.59375
819200,17.6875
827392,19.75
835584,18.625
843776,19.34375
851968,18.59375
860160,18.90625
868352,18.6875
876544,19.75
884736,19.53125
892928,18.53125
901120,19.40625
909312,18.6875
917504,18.4375
925696,18.5625
933888,19.96875
942080,19.125
950272,18.8125
958464,20.21875
966656,18.5
974848,20.6875
983040,20.0625
991232,20.53125
999424,19.03125
1007616,19.28125
1015808,19.71875
1024000,18.40625
1032192,19.0625
1040384,20.25
1048576,20.5625
1056768,19.71875
1064960,19.46875
1073152,20.90625
1081344,19.28125
1089536,19.125
1097728,19.65625
1105920,19.125
1114112,21.8125
1122304,19.28125
1130496,17.875
1138688,20.3125
1146880,20.5625
1155072,20.03125
1163264,18.46875
1171456,20.1875
1179648,18.75
1187840,19.5
1196032,20.875
1204224,18.5
1212416,20.15625
1220608,19.5
1228800,18.9375
1236992,19.28125
1245184,20.5
1253376,20.3125
1261568,20.46875
1269760,19.65625
1277952,18.84375
1286144,19.875
1294336,20.1875
1302528,20.9375
1310720,19.875
1318912,19.46875
1327104,20.8125
1335296,18.9375
1343488,19.8125
1351680,19.15625
1359872,20.15625
1368064,19.8125
1376256,19.84375
1384448,19.0
1392640,20.28125
1400832,19.0625
1409024,19.78125
1417216,19.9375
1425408,20.0625
1433600,20.4375
1441792,19.28125
1449984,19.84375
1458176,20.34375
1466368,20.03125
1474560,19.40625
1482752,18.5
1490944,20.46875
1499136,19.25
1507328,20.5
1515520,20.59375
1523712,21.65625
1531904,21.4375
1540096,20.28125
1548288,19.9375
1556480,19.0625
1564672,20.125
1572864,20.28125
1581056,21.78125
1589248,21.4375
1597440,18.90625
1605632,21.75
1613824,19.6875
1622016,19.96875
1630208,20.0
1638400,19.625
1646592,21.84375
1654784,19.28125
1662976,20.65625
1671168,18.46875
1679360,20.46875
1687552,20.5625
1695744,21.75
1703936,20.65625
1712128,20.71875
1720320,21.5625
1728512,20.09375
1736704,21.125
1744896,21.1875
1753088,20.15625
1761280,21.46875
1769472,21.15625
1777664,21.15625
1785856,21.25
1794048,22.125
1802240,20.59375
1810432,22.28125
1818624,20.96875
1826816,19.78125
1835008,22.0625
1843200,20.78125
1851392,21.0
1859584,20.875
1867776,20.65625
1875968,21.71875
1884160,20.84375
1892352,21.8125
