steps,rewards
0,0.0
8192,3.46875
16384,3.96875
24576,4.5
32768,4.28125
40960,4.0
49152,4.15625
57344,4.34375
65536,4.0625
73728,4.125
81920,4.625
90112,4.90625
98304,4.6875
106496,4.3125
114688,5.8125
122880,5.875
131072,6.65625
139264,4.25
147456,6.09375
155648,4.53125
163840,4.09375
172032,6.625
180224,6.3125
188416,7.1875
196608,7.5625
204800,6.25
212992,7.28125
221184,7.65625
229376,8.21875
237568,8.15625
245760,8.9375
253952,9.0
262144,7.8125
270336,8.5625
278528,9.21875
286720,9.15625
294912,9.53125
303104,9.21875
311296,6.84375
319488,9.4375
327680,9.25
335872,9.875
344064,8.0625
352256,9.25
360448,10.875
368640,10.6875
376832,9.9375
385024,9.90625
393216,11.90625
401408,9.65625
409600,9.84375
417792,10.40625
425984,10.625
434176,10.28125
442368,11.96875
450560,12.75
458752,11.09375
466944,12.0625
475136,11.1875
483328,11.375
491520,12.375
499712,11.09375
507904,10.4375
516096,10.3125
524288,10.96875
532480,11.28125
540672,9.9375
548864,12.09375
557056,12.21875
565248,13.53125
573440,11.75
581632,11.5625
589824,12.90625
598016,12.0
606208,14.59375
614400,12.78125
622592,14.5625
630784,13.75
638976,14.71875
647168,12.84375
655360,13.78125
663552,15.125
671744,13.65625
679936,14.46875
688128,14.625
696320,13.96875
704512,13.34375
712704,14.15625
720896,15.5
729088,15.6875
737280,15.96875
745472,15.09375
753664,15.09375
761856,14.28125
770048,15.0625
778240,15.0
786432,14.53125
794624,16.46875
802816,15.40625
811008,14.78125
819200,15.28125
827392,15.5625
835584,15.46875
843776,14.53125
851968,14.15625
860160,13.6875
868352,16.21875
876544,17.15625
884736,16.34375
892928,16.78125
901120,15.5625
909312,16.46875
917504,19.4375
925696,18.53125
933888,17.96875
942080,16.28125
950272,15.34375
958464,17.125
966656,16.34375
974848,15.46875
983040,15.71875
991232,18.53125
999424,17.375
1007616,15.25
1015808,17.125
1024000,19.125
1032192,17.53125
1040384,17.21875
1048576,18.375
1056768,17.875
1064960,17.9375
1073152,18.4375
1081344,18.09375
1089536,17.4375
1097728,17.1875
1105920,15.875
1114112,19.625
1122304,18.15625
1130496,16.9375
1138688,18.375
1146880,18.59375
1155072,17.25
1163264,18.90625
1171456,17.15625
1179648,16.53125
1187840,18.0625
1196032,17.40625
1204224,17.90625
1212416,16.84375
1220608,17.25
1228800,17.5
1236992,18.46875
1245184,18.375
1253376,18.21875
1261568,19.15625
1269760,19.375
1277952,19.65625
1286144,17.84375
1294336,18.59375
1302528,19.0
1310720,18.125
1318912,18.5625
1327104,18.8125
1335296,18.21875
1343488,18.625
1351680,17.5625
1359872,16.625
1368064,17.875
1376256,18.09375
1384448,18.625
1392640,17.71875
1400832,19.28125
1409024,19.4375
1417216,18.75
1425408,18.65625
1433600,19.78125
1441792,19.90625
1449984,19.4375
1458176,19.9375
1466368,19.46875
1474560,19.28125
1482752,21.125
1490944,20.78125
1499136,19.6875
1507328,20.1875
1515520,20.125
1523712,21.5
1531904,21.40625
1540096,20.25
1548288,19.65625
1556480,19.9375
1564672,22.0625
1572864,18.71875
1581056,21.375
1589248,21.8125
1597440,19.75
1605632,19.65625
1613824,19.25
1622016,19.96875
1630208,19.5
1638400,21.125
1646592,20.8125
1654784,21.46875
1662976,22.84375
1671168,22.28125
1679360,24.0625
1687552,21.375
1695744,20.40625
1703936,21.3125
1712128,18.75
1720320,21.5625
1728512,21.5
1736704,21.75
1744896,21.6875
1753088,20.84375
1761280,21.96875
1769472,21.09375
1777664,23.21875
1785856,20.25
1794048,20.71875
1802240,19.375
1810432,19.84375
1818624,21.59375
1826816,19.21875
1835008,22.0625
1843200,20.59375
1851392,20.21875
1859584,21.75
1867776,21.25
1875968,22.09375
1884160,21.0625
1892352,21.5
1900544,21.25
1908736,22.1875
1916928,22.71875
1925120,22.28125
1933312,22.3125
1941504,22.5
1949696,22.53125
1957888,22.28125
1966080,20.59375
1974272,22.59375
1982464,21.90625
1990656,19.71875
1998848,20.0625
2007040,21.40625
2015232,22.6875
2023424,22.21875
2031616,23.34375
2039808,22.8125
2048000,21.15625
2056192,23.46875
